Claim No,Policy No,Underwriting Year,Insured,Intermediary,Class,Class Code,Sub Class,Sub Class Code,Nature Of Loss,D.O.L,D.O.I,D.O.P,Start,Expiry,Indemnity Amount,Recoveries Amount,Handling Expense,Gross Amount,Reinsurance,Net Amount
C607045,P454775,2023,Amelia Singh,Taurus Brokers,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,25/09/2023,03/10/2023,07/05/2025,08/02/2023,08/02/2024,0,0,6650,6650,0,6650
C748077,P374308,2022,Amelia Patel,Pioneer Underwriters,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,16/09/2022,19/09/2022,25/04/2025,05/07/2022,04/07/2023,0,0,6380,6380,0,6380
C540713,P503760,2023,Daniel Khan,Gamma Insurance Brokers,Motor Commercial,080,Motor Commercial Comprehensive,0800,Vehicle Theft,15/01/2024,18/01/2024,25/04/2025,01/10/2023,30/09/2024,0,0,2320,2320,0,2320
C732866,P976549,2022,Noah Taylor,Taurus Brokers,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,03/09/2022,22/09/2022,25/04/2025,04/03/2022,03/03/2023,0,0,6380,6380,0,6380
C355014,P735205,2021,Ella Brown,Broker One,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,28/09/2022,29/09/2022,25/04/2025,01/12/2021,30/11/2022,0,0,6380,6380,0,6380
C244756,P993241,2021,Lucas Roberts,Vertex Insurance,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,29/06/2022,06/07/2022,25/04/2025,12/10/2021,11/10/2022,0,0,2320,2320,0,2320
C632191,P369109,2023,Raj Ali,Lambda Insurance Group,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,06/01/2024,08/01/2024,25/04/2025,04/02/2023,03/02/2024,0,0,2320,2320,0,2320
C466440,P213477,2024,Lucas Ahmed,Orion Risk Partners,Motor Commercial,080,General Cartage,0807,Accidental Damage,23/12/2024,02/01/2025,07/05/2025,17/12/2024,20/04/2025,0,0,2900,2900,0,2900
C195418,P791025,2024,Ethan Smith,Vertex Insurance,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,16/11/2024,21/11/2024,07/05/2025,25/09/2024,24/09/2025,0,0,9686,9686,0,9686
C674804,P951017,2024,Zara Singh,Vertex Insurance,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,09/01/2025,13/01/2025,07/05/2025,14/12/2024,13/12/2025,0,0,6650,6650,0,6650
C306963,P185191,2022,Fatima Miller,Pioneer Underwriters,Motor Private,070,Motor Private Comprehensive,0700,Injury To Third Part,11/07/2022,24/03/2025,09/05/2025,01/03/2022,28/12/2022,0,0,30000,30000,0,30000
C564604,P111492,2023,Ella Begum,Vertex Insurance,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,17/08/2023,23/08/2023,12/05/2025,03/03/2023,26/01/2024,0,0,13000,13000,0,13000
C169661,P843058,2024,Nina Khan,Horizon Brokers,Motor Private,070,Motor Private Comprehensive,0700,Windscreen Damage,30/12/2024,30/12/2024,09/05/2025,16/02/2024,14/01/2025,0,0,22000,22000,0,22000
C886809,P736087,2024,Aarav Sharma,Eta Risk Solutions,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,20/09/2024,15/10/2024,09/05/2025,16/06/2024,15/06/2025,0,0,24000,24000,0,24000
C753969,P449247,2024,Leo Wilson,Pegasus Insurance,Motor Commercial,080,Motor Commercial Comprehensive,0800,Own Damage,17/01/2025,31/01/2025,09/05/2025,18/11/2024,17/11/2025,0,0,12500,12500,0,12500
C336652,P384465,2025,Priya Williams,Horizon Brokers,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,18/03/2025,26/03/2025,20/05/2025,02/02/2025,01/02/2026,777615,0,0,777615,0,777615
C817929,P345176,2023,Leo Sharma,Sigma Risk Advisors,Motor Commercial,080,Motor Commercial Comprehensive,0800,Own Damage,18/03/2023,21/03/2023,02/05/2025,07/03/2023,07/04/2023,59080,0,0,59080,0,59080
C851766,P254089,2023,Leo Ali,Gamma Insurance Brokers,Motor Commercial,080,Motor Commercial Comprehensive,0800,Own Damage,18/03/2023,21/03/2023,02/05/2025,07/03/2023,07/04/2023,44412,0,0,44412,0,44412
C564739,P499012,2024,Zara Sharma,Broker Two,Motor Commercial,080,Motor Commercial Comprehensive,0800,Windscreen Damage,27/11/2024,02/04/2025,01/05/2025,01/11/2024,01/01/2025,6900,0,0,6900,0,6900
C368183,P499044,2024,Aisha Hall,Broker Two,Motor Commercial,080,General Cartage,0807,Accidental Damage,29/01/2025,07/02/2025,02/05/2025,17/12/2024,20/04/2025,29584,0,0,29584,0,29584
C963470,P715593,2023,Fatima Davies,Lambda Insurance Group,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,19/08/2023,21/08/2023,29/04/2025,27/06/2023,26/06/2024,38350,0,0,38350,0,38350
C711897,P991246,2024,Arjun Johnson,Epsilon Underwriters,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,19/10/2024,19/10/2024,29/04/2025,04/02/2024,03/02/2025,550000,0,0,550000,0,550000
C705903,P954359,2023,Mateo Lewis,Broker Two,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,17/12/2023,18/12/2023,29/04/2025,21/06/2023,20/06/2024,120000,0,0,120000,0,120000
C279074,P910677,2024,Isla Johnson,Gamma Insurance Brokers,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,12/06/2024,03/07/2024,30/04/2025,08/04/2024,07/04/2025,865450,0,0,865450,0,865450
C310781,P439090,2024,Ethan Hughes,Pioneer Underwriters,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,25/08/2024,28/08/2024,30/04/2025,09/01/2024,08/01/2025,480456,0,0,480456,0,480456
C916315,P760111,2024,Noah Smith,Delta Coverage Ltd,Motor Commercial,080,PSV,0804,Own Damage,06/03/2025,18/03/2025,02/05/2025,19/11/2024,18/11/2025,1318000,0,0,1318000,0,1318000
C994375,P254295,2023,Mateo Davies,Broker One,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,14/12/2023,14/12/2023,30/04/2025,26/10/2023,25/10/2024,496300,0,0,496300,0,496300
C119680,P832838,2013,Nina Ahmed,Kappa Brokers,Work Injury Benefits,11,Work Injury Benefits Act,112,Own Damage,25/05/2014,16/05/2016,06/05/2025,27/05/2013,26/05/2014,0,0,203220,203220,0,203220
C614552,P725907,2024,Aisha Davies,Iota Claims Ltd,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,17/01/2025,17/01/2025,09/05/2025,13/11/2024,12/09/2025,0,0,13000,13000,0,13000
C522109,P544074,2024,Isla Roberts,Broker Three,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,01/01/2025,09/01/2025,09/05/2025,24/02/2024,23/01/2025,0,0,18000,18000,0,18000
C733278,P136065,2024,Ella Miller,Eta Risk Solutions,Motor Commercial,080,PSV,0804,Own Damage,14/01/2025,16/01/2025,09/05/2025,23/07/2024,20/05/2025,0,0,12000,12000,0,12000
C251653,P416934,2024,Priya Hughes,Eta Risk Solutions,Motor Commercial,080,PSV,0804,Accidental Damage,05/12/2024,09/12/2024,12/05/2025,06/11/2024,05/12/2024,0,0,262000,262000,0,262000
C697897,P518104,2024,Amelia Thompson,Broker Two,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,02/02/2025,03/02/2025,06/05/2025,16/10/2024,15/10/2025,0,0,6980,6980,0,6980
C841882,P695684,2024,Priya Patel,Orion Risk Partners,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,14/03/2024,27/03/2024,06/05/2025,13/12/2023,12/12/2024,0,0,2320,2320,0,2320
C812129,P837501,2024,Nina Shah,Epsilon Underwriters,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,10/02/2025,12/02/2025,07/05/2025,05/06/2024,04/06/2025,0,0,23200,23200,0,23200
C841506,P977232,2024,Lucas Begum,Broker One,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,18/11/2024,18/11/2024,16/06/2025,03/07/2024,02/07/2025,0,0,241760,241760,0,241760
C304346,P203920,2024,Daniel Hughes,Kappa Brokers,Motor Private,070,Motor Private Third Party Only,0703,Own Damage,01/12/2024,10/02/2025,12/05/2025,09/02/2024,08/02/2025,0,0,20068,20068,0,20068
C635501,P647583,2024,Yusuf Roberts,Gamma Insurance Brokers,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,22/01/2025,23/01/2025,16/06/2025,05/11/2024,31/10/2025,0,0,230392,230392,0,230392
C306791,P214663,2024,Fatima Fernandez,Orion Risk Partners,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,02/01/2025,03/01/2025,14/05/2025,04/07/2024,03/07/2025,0,0,338040,338040,0,338040
C808504,P520865,2024,Omar Hall,Iota Claims Ltd,Engineering,02,Machinery Breakdown,023,Accidental damage,09/04/2024,23/04/2024,07/05/2025,01/03/2024,28/02/2025,0,0,35469900,35469900,0,35469900
C363838,P551061,2024,David Lewis,Atlas Insurance,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,24/02/2025,25/02/2025,28/05/2025,12/10/2024,11/10/2025,0,0,54926,54926,0,54926
C122872,P907902,2024,Ethan Singh,Horizon Brokers,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,03/03/2025,03/03/2025,14/05/2025,02/12/2024,01/12/2025,0,0,83260,83260,0,83260
C125441,P554353,2024,Arjun Patel,Taurus Brokers,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,06/01/2025,09/01/2025,13/05/2025,14/11/2024,31/10/2025,0,0,378060,378060,0,378060
C123226,P333975,2025,Omar Wilson,Iota Claims Ltd,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,02/03/2025,03/03/2025,09/05/2025,01/01/2025,31/12/2025,0,0,72500,72500,0,72500
C934507,P472636,2023,Isla Fernandez,Theta Insurance,Motor Commercial,080,Motor Commercial Third Party,0808,Third Party Property,04/01/2024,05/01/2024,09/05/2025,23/03/2023,21/03/2024,0,0,16250,16250,0,16250
C391599,P113160,2023,Isla Davies,Vertex Insurance,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,09/09/2023,11/09/2023,09/05/2025,01/04/2023,31/03/2024,0,0,62700,62700,0,62700
C198626,P406900,2024,Noah Davies,Iota Claims Ltd,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,25/02/2025,03/03/2025,12/05/2025,11/07/2024,09/05/2025,0,0,467380,467380,0,467380
C282532,P324522,2017,Lucas Begum,Sigma Risk Advisors,Work Injury Benefits,11,Employers Liability (Common Law),113,Own Damage,28/04/2017,14/03/2018,12/05/2025,11/04/2017,10/04/2018,0,0,47200,47200,0,47200
C782770,P600326,2025,Raj Hughes,Taurus Brokers,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,21/04/2025,22/04/2025,09/05/2025,24/02/2025,23/12/2025,0,0,224360,224360,0,224360
C877196,P119522,2020,Daniel Sharma,Alpha Insurance Agency,Motor Commercial,080,Motor Commercial Comprehensive,0800,Own Damage,11/05/2020,10/06/2020,15/05/2025,01/02/2020,31/01/2021,0,0,79600,79600,0,79600
C743062,P388242,2012,Mateo Gupta,Kappa Brokers,Work Injury Benefits,11,Employers Liability (Common Law),113,Own Damage,01/02/2013,18/07/2015,12/05/2025,04/10/2012,03/10/2013,0,0,275832,275832,0,275832
C516518,P250908,2025,Maya Hall,Pegasus Insurance,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,09/03/2025,10/03/2025,09/05/2025,17/01/2025,31/12/2025,0,0,6380,6380,0,6380
C628026,P792012,2025,Leila Davies,Pegasus Insurance,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,21/02/2025,24/02/2025,09/05/2025,01/01/2025,31/12/2025,0,0,6380,6380,0,6380
C636400,P670637,2025,Raj Smith,Pegasus Insurance,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,22/12/2024,06/01/2025,09/05/2025,11/11/2024,10/11/2025,0,0,2900,2900,0,2900
C682441,P310473,2024,Noah Gupta,Horizon Brokers,Theft,10,Cash in Transit,100,Theft by Forcible,07/04/2025,07/04/2025,09/05/2025,01/07/2024,30/06/2025,384096,0,0,384096,0,384096
C859703,P886318,2024,Sophia Ahmed,Taurus Brokers,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,20/02/2025,25/02/2025,12/05/2025,21/05/2024,20/05/2025,6500,0,0,6500,0,6500
C106968,P446979,2024,Mateo Fernandez,Delta Coverage Ltd,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,10/10/2024,05/12/2024,12/05/2025,13/07/2024,12/07/2025,7500,0,0,7500,0,7500
C793030,P683048,2021,Leo Lewis,Pegasus Insurance,Motor Private,070,Motor Private Third Party Only,0703,Own Damage,14/05/2021,02/08/2021,12/05/2025,22/04/2021,21/04/2022,0,0,15000,15000,0,15000
C498012,P767133,2024,Isla Begum,Zeta Assurance,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,24/09/2024,24/09/2024,13/05/2025,14/03/2024,13/03/2025,0,0,596140,596140,0,596140
C849519,P823883,2025,Zara Begum,Gamma Insurance Brokers,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,28/01/2025,28/01/2025,16/05/2025,01/01/2025,31/12/2025,0,0,171448,171448,0,171448
C895051,P319675,2024,Raj Khan,Zeta Assurance,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,05/04/2025,07/04/2025,20/05/2025,02/07/2024,01/07/2025,0,0,125760,125760,0,125760
C879691,P471680,2024,Leo Singh,Iota Claims Ltd,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,26/02/2025,26/02/2025,20/05/2025,19/09/2024,18/09/2025,0,0,402304,402304,0,402304
C315686,P467176,2025,Fatima Singh,Broker Two,Theft,10,All Risks,103,Accidental Damage,24/03/2025,15/05/2025,28/05/2025,01/01/2025,31/12/2025,122194,0,0,122194,0,122194
C327081,P593806,2024,Sophia Davies,Orion Risk Partners,Work Injury Benefits,11,WIBA Plus,114,Injury to worker,21/10/2024,22/10/2024,10/06/2025,01/01/2024,31/12/2024,11007,0,0,11007,10026.71,980.29
C349267,P655412,2024,Maya Smith,Epsilon Underwriters,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,30/07/2024,09/08/2024,20/05/2025,02/04/2024,01/04/2025,0,0,30000,30000,0,30000
C510103,P989092,2024,Yusuf Miller,Alpha Insurance Agency,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,24/04/2025,25/04/2025,20/05/2025,02/10/2024,01/08/2025,0,0,29090,29090,0,29090
C741293,P975300,2024,Leo Williams,Eta Risk Solutions,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,06/05/2025,07/05/2025,20/05/2025,30/10/2024,29/10/2025,45500,0,0,45500,0,45500
C602536,P800493,2024,David Khan,Pioneer Underwriters,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,23/12/2024,10/02/2025,12/06/2025,13/12/2024,12/12/2025,0,0,303820,303820,0,303820
C400928,P502094,2025,Fatima Fernandez,Delta Coverage Ltd,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,12/04/2025,22/04/2025,10/06/2025,16/01/2025,15/12/2025,0,0,254172,254172,0,254172
C352734,P158069,2024,Aisha Miller,Kappa Brokers,Fire Industrial,04,Industrial All Risks,042,Floods,01/05/2024,05/03/2025,23/05/2025,01/03/2024,01/03/2025,25859535,0,0," 25,859,535.00 ",25598894.16,260640.84
C962861,P549410,2025,Maya Wilson,Iota Claims Ltd,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,07/03/2025,09/03/2025,27/05/2025,01/02/2025,31/01/2026,0,0,287000,287000,0,287000
C557629,P399845,2025,Sophia Lewis,Pegasus Insurance,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,10/03/2025,11/03/2025,27/05/2025,01/01/2025,31/12/2025,0,0,201392,201392,0,201392
C335928,P465308,2024,Daniel Singh,Epsilon Underwriters,Fire Domestic,03,Domestic Package,030,Accidental Damage,27/11/2024,17/12/2024,27/05/2025,01/01/2024,31/12/2024,35250,0,0,35250,0,35250
C651596,P790256,2025,Priya Patel,Broker One,Motor Private,070,Motor Private Comprehensive,0700,Partial Theft,16/03/2025,20/03/2025,03/06/2025,29/01/2025,28/01/2026,22000,0,0,22000,0,22000
C593136,P228666,2025,Raj Begum,Broker One,Motor Commercial,080,Motor Commercial Comprehensive,0800,Windscreen Damage,22/05/2025,23/05/2025,11/06/2025,01/01/2025,31/12/2025,30000,0,0,30000,0,30000
C702144,P839184,2024,Fatima Williams,Kappa Brokers,Work Injury Benefits,11,Work Injury Benefits Act,112,Injury to worker,10/04/2025,22/05/2025,11/06/2025,14/11/2024,13/11/2025,7539,0,0,7539,0,7539
C250900,P128893,2024,Arjun Williams,Atlas Insurance,Work Injury Benefits,11,Work Injury Benefits Act,112,Injury to worker,10/04/2025,22/05/2025,11/06/2025,14/11/2024,13/11/2025,28100,0,0,28100,0,28100
C829582,P209268,2021,Leo Ahmed,Alpha Insurance Agency,Work Injury Benefits,11,WIBA Plus,114,Fatal injury,13/12/2021,23/12/2021,29/05/2025,01/01/2021,31/12/2021,1285754,0,0,1285754,0,1285754
C599431,P926768,2024,Omar Singh,Lambda Insurance Group,Fire Domestic,03,Domestic Package,030,Floods,25/03/2025,25/03/2025,09/06/2025,05/12/2024,04/12/2025,651061,0,0,651061,483374.06,167686.94
C579842,P371838,2024,Noah Wilson,Sigma Risk Advisors,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,27/04/2024,02/05/2024,30/05/2025,17/04/2024,16/04/2025,20000,0,0,20000,0,20000
C507642,P611038,2023,Noah Hughes,Atlas Insurance,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,24/02/2024,03/04/2024,30/05/2025,25/06/2023,24/06/2024,444210,0,0,444210,0,444210
C178410,P362858,2023,Noah Patel,Vertex Insurance,Motor Commercial,080,Motor Commercial Comprehensive,0800,Own Damage,17/10/2023,18/10/2023,30/05/2025,01/03/2023,29/02/2024,385460,0,0,385460,0,385460
C859320,P539326,2024,Aisha Williams,Pioneer Underwriters,Marine,06,Marine Cargo,061,Accidental Damage,04/04/2024,09/04/2024,30/05/2025,28/03/2024,26/06/2024,896594,0,0,896594,0,896594
C510771,P675547,2023,Amelia Fernandez,Broker Three,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,17/02/2024,22/02/2024,30/05/2025,01/12/2023,30/11/2024,526340,0,0,526340,0,526340
C393490,P760620,2023,Amelia Gupta,Kappa Brokers,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,22/02/2024,23/02/2024,30/05/2025,01/09/2023,31/08/2024,345389,0,0,345389,0,345389
C862543,P342772,2024,Maya Williams,Epsilon Underwriters,Motor Commercial,080,PSV,0804,Own Damage,21/03/2025,25/03/2025,03/06/2025,17/08/2024,16/06/2025,786675,0,0,786675,0,786675
C714337,P254279,2023,Lucas Ahmed,Beta Risk Partners,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,28/09/2023,04/10/2023,04/06/2025,02/09/2023,02/09/2024,0,0,1500000,1500000,0,1500000
C353229,P345991,2024,Yusuf Roberts,Zeta Assurance,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,23/04/2025,25/04/2025,10/06/2025,30/10/2024,29/08/2025,0,0,20600,20600,0,20600
C556298,P458196,2024,Amelia Ahmed,Iota Claims Ltd,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,18/02/2025,21/02/2025,10/06/2025,22/11/2024,21/11/2025,0,0,543217,543217,0,543217
C835075,P674199,2021,Isla Gupta,Theta Insurance,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,26/12/2021,25/01/2022,19/06/2025,24/12/2021,24/01/2022,0,0,35000,35000,0,35000
C513298,P908201,2023,Ella Taylor,Epsilon Underwriters,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,14/08/2024,15/08/2024,12/06/2025,11/11/2023,10/11/2024,0,0,164040,164040,0,164040
C440241,P873066,2024,Maya Ali,Alpha Insurance Agency,Motor Private,070,Motor Private Comprehensive,0700,Windscreen Damage,04/03/2025,14/03/2025,10/06/2025,08/08/2024,07/04/2025,0,0,28000,28000,0,28000
C260251,P764841,2024,Aarav Lewis,Delta Coverage Ltd,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,03/05/2024,04/05/2024,04/06/2025,01/01/2024,31/12/2024,0,0,175102,175102,0,175102
C863731,P292726,2023,Isla Johnson,Broker Three,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,10/07/2023,11/07/2023,19/06/2025,06/02/2023,05/02/2024,0,0,552650,552650,0,552650
C269848,P101658,2024,Fatima Patel,Taurus Brokers,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,16/04/2025,28/04/2025,10/06/2025,02/08/2024,01/08/2025,325519,0,0,325519,0,325519
C651456,P584175,2024,Zara Ahmed,Eta Risk Solutions,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,05/02/2025,05/02/2025,10/06/2025,18/09/2024,17/09/2025,0,0,74820,74820,0,74820
C636507,P666084,2025,Amelia Gupta,Theta Insurance,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,10/03/2025,18/03/2025,16/06/2025,07/01/2025,06/01/2026,0,0,43152,43152,0,43152
C167687,P159423,2025,David Gupta,Epsilon Underwriters,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,22/03/2025,25/03/2025,18/06/2025,28/02/2025,31/12/2025,0,0,147684,147684,0,147684
C457923,P328032,2024,Noah Fernandez,Kappa Brokers,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,26/02/2025,26/02/2025,16/06/2025,04/08/2024,03/08/2025,0,0,41760,41760,0,41760
C609551,P259948,2024,Aisha Smith,Summit Brokers,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,04/03/2025,13/03/2025,16/06/2025,17/12/2024,16/12/2025,0,0,154760,154760,0,154760
C112558,P512365,2024,Zara Shah,Eta Risk Solutions,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,27/01/2025,29/01/2025,10/06/2025,31/05/2024,30/05/2025,0,0,354280,354280,0,354280
C999097,P301181,2024,Leila Patel,Broker Two,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,02/02/2024,06/02/2024,10/06/2025,12/01/2024,11/11/2024,0,0,537950,537950,0,537950
C918420,P295246,2023,Raj Khan,Gamma Insurance Brokers,Motor Private,070,Motor Private Comprehensive,0700,Injury To Third Part,03/11/2023,28/11/2023,10/06/2025,17/12/2022,16/11/2023,0,0,118000,118000,0,118000
C940440,P297427,2025,Yusuf Thompson,Delta Coverage Ltd,Motor Commercial,080,Motor Commercial Comprehensive,0800,Windscreen Damage,13/04/2025,04/06/2025,16/06/2025,03/01/2025,02/01/2026,27840,0,0,27840,0,27840
C511580,P475005,2024,Ella Gupta,Beta Risk Partners,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,19/01/2025,20/01/2025,16/06/2025,13/02/2024,12/02/2025,0,0,261200,261200,0,261200
C508872,P703885,2023,Maya Brown,Alpha Insurance Agency,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,15/03/2023,27/03/2023,20/06/2025,02/03/2023,02/04/2023,0,0,32330,32330,0,32330
C436486,P158600,2024,Leo Roberts,Pegasus Insurance,Fire Domestic,03,Domestic Package,030,Floods,30/05/2024,11/07/2024,24/06/2025,01/01/2024,31/12/2024,0,0,48140,48140,0,48140
C252337,P412394,2021,Aarav Williams,Sigma Risk Advisors,Work Injury Benefits,11,WIBA Plus,114,Fatal injury,13/12/2021,23/12/2021,18/06/2025,01/01/2021,31/12/2021,1852656,0,0,1852656,0,1852656
C676018,P438931,2024,Mateo Sharma,Lambda Insurance Group,Motor Private,070,Motor Private Comprehensive,0700,Injury To Third Part,30/06/2024,24/12/2024,20/06/2025,17/05/2024,16/05/2025,0,0,1000000,1000000,0,1000000
C244886,P886576,2024,Aisha Ahmed,Beta Risk Partners,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,01/05/2025,13/05/2025,20/06/2025,12/10/2024,11/10/2025,2215500,0,0,2215500,0,2215500
C211427,P881523,2024,Lucas Khan,Zeta Assurance,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,06/05/2025,07/05/2025,26/06/2025,30/10/2024,29/10/2025,30500,0,0,30500,0,30500
C159649,P190867,2024,Fatima Fernandez,Broker One,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,28/11/2024,02/12/2024,25/06/2025,01/04/2024,31/03/2025,376806,0,0,376806,0,376806
C930505,P172276,2024,Lucas Davies,Horizon Brokers,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,18/11/2024,20/11/2024,25/06/2025,24/01/2024,22/01/2025,545746,0,0,545746,0,545746
C978390,P236768,2024,Yusuf Gupta,Iota Claims Ltd,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,05/03/2024,08/03/2024,25/06/2025,18/12/2023,17/12/2024,126000,0,0,126000,0,126000
C796845,P963914,2024,David Taylor,Pegasus Insurance,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,05/03/2024,08/03/2024,25/06/2025,18/12/2023,17/12/2024,88000,0,0,88000,0,88000
C656822,P351010,2024,Lucas Davies,Beta Risk Partners,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,09/01/2025,09/01/2025,25/06/2025,20/03/2024,19/03/2025,250000,0,0,250000,0,250000
C129343,P684733,2024,Aarav Brown,Beta Risk Partners,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,22/01/2025,03/02/2025,25/06/2025,11/02/2024,10/02/2025,951124,0,0,951124,0,951124
C981564,P556094,2024,Ella Davies,Epsilon Underwriters,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,07/04/2024,08/04/2024,25/06/2025,01/04/2024,31/03/2025,650231,0,0,650231,0,650231
C177040,P693612,2024,Leo Ahmed,Theta Insurance,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,26/02/2025,26/02/2025,25/06/2025,29/07/2024,28/07/2025,250000,0,0,250000,0,250000
C337862,P861419,2025,Arjun Roberts,Zeta Assurance,Motor Private,070,Motor Private Comprehensive,0700,Windscreen Damage,23/05/2025,26/05/2025,27/06/2025,05/05/2025,04/06/2025,0,0,26000,26000,0,26000
C114561,P717000,2024,Fatima Miller,Taurus Brokers,Motor Private,070,Motor Private Comprehensive,0700,Windscreen Damage,29/05/2025,03/06/2025,27/06/2025,07/12/2024,06/12/2025,0,0,25000,25000,0,25000
C711924,P252622,2023,Mateo Ali,Atlas Insurance,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,09/04/2024,24/04/2024,30/06/2025,02/10/2023,01/10/2024,38900,0,0,38900,0,38900
C787195,P348328,2022,Omar Singh,Iota Claims Ltd,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,12/07/2023,14/07/2023,12/05/2025,08/08/2022,07/08/2023,0,0,6980,6980,0,6980
C439622,P824635,2022,Zara Taylor,Gamma Insurance Brokers,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,09/06/2023,12/06/2023,13/03/2025,09/12/2022,08/12/2023,0,0,6495,6495,0,6495
C923003,P581098,2022,Nina Miller,Lambda Insurance Group,Motor Private,070,Motor Private Comprehensive,0700,Windscreen Damage,19/07/2023,21/07/2023,27/03/2025,30/09/2022,29/09/2023,0,0,12000,12000,0,12000
C897582,P353210,2006,Ella Fernandez,Eta Risk Solutions,Work Injury Benefits,11,Work Injury Benefits Act,112,Own Damage,08/02/2007,13/02/2007,15/05/2025,15/12/2006,14/12/2007,0,0,48848,48848,0,48848
C700989,P802512,2024,Lucas Khan,Theta Insurance,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,24/04/2024,07/05/2024,09/05/2025,11/03/2024,10/03/2025,8000,0,0,8000,0,8000
