Claim No,Policy No,Underwriting Year,Insured,Intermediary,Class,Class Code,Sub Class,Sub Class Code,Nature Of Loss,D.O.L,D.O.I,D.O.P,Start,Expiry,Indemnity Amount,Recoveries Amount,Handling Expense,Gross Amount,Reinsurance,Net Amount,Claim No Check,Policy No Check,Class Check,Date Reasonability,Gross=Net+Reinsurance
C549638,P308407,2022.0,Sophia Begum,Sigma Risk Advisors,Motor Private,70,Motor Private Comprehensive,700,Own Damage,2022-09-03,2022-09-22,2025-03-19,2022-03-04,2023-03-03,0,0,175040,175040.0,0.0,175040.0,OK,OK,OK,OK,OK
C460214,P209402,2010.0,Omar Ali,Eta Risk Solutions,Motor Commercial,80,Institutional Vehicles,813,Own Damage,2010-08-14,2010-08-16,2025-02-06,2010-07-01,2010-09-30,0,0,34800,34800.0,0.0,34800.0,OK,OK,OK,OK,OK
C776586,P555917,2024.0,Lucas Patel,Zeta Assurance,Motor Private,70,Motor Private Comprehensive,700,Own Damage,2024-09-30,2024-10-02,2025-02-25,2024-01-24,2025-01-23,0,0,356020,356020.0,0.0,356020.0,OK,OK,OK,OK,OK
C656536,P561442,2024.0,Amelia Gupta,Zeta Assurance,Motor Private,70,Motor Private Comprehensive,700,Own Damage,2024-08-17,2024-08-20,2025-03-12,2024-06-26,2025-06-25,0,0,331776,331776.0,0.0,331776.0,OK,OK,OK,OK,OK
C300475,P638890,2024.0,Raj Thompson,Zeta Assurance,Motor Commercial,80,Motor Commercial Comprehensive,800,Own Damage,2024-08-22,2024-08-23,2025-02-21,2024-01-01,2024-12-31,0,0,78133,78133.0,0.0,78133.0,OK,OK,OK,OK,OK
C923212,P760607,2024.0,Zara Hughes,Broker One,Motor Private,70,Motor Private Comprehensive,700,Own Damage,2024-12-12,2024-12-13,2025-02-06,2024-08-10,2025-06-02,0,0,15000,15000.0,0.0,15000.0,OK,OK,OK,OK,OK
C570803,P917948,2024.0,David Brown,Taurus Brokers,Motor Commercial,80,PSV,804,Windscreen Damage,2024-11-03,2024-11-05,2025-02-14,2024-10-08,2025-10-07,0,0,12000,12000.0,0.0,12000.0,OK,OK,OK,CHECK,OK
C713520,P241745,2025.0,Mateo Williams,Broker Three,Motor Private,70,Motor Private Comprehensive,700,Partial Theft,2025-01-29,2025-02-04,2025-02-14,2025-01-16,2026-01-15,48000,0,0,48000.0,0.0,48000.0,OK,OK,OK,CHECK,OK
C713524,P345940,2024.0,Aarav Davies,Taurus Brokers,Motor Private,70,Motor Private Comprehensive,700,Own Damage,2024-10-28,2024-11-08,2025-02-14,2024-03-05,2025-01-01,0,0,32000,32000.0,0.0,32000.0,OK,OK,OK,OK,OK
C423663,P225244,2024.0,Priya Ali,Orion Risk Partners,Motor Private,70,Motor Private Comprehensive,700,Own Damage,2024-11-15,2024-11-18,2025-02-21,2024-09-26,2025-09-25,0,0,39440,39440.0,0.0,39440.0,OK,OK,OK,CHECK,OK
C666152,P614210,2024.0,Nina Begum,Taurus Brokers,Motor Private,70,Motor Private Comprehensive,700,Own Damage,2024-09-23,2024-12-05,2025-02-14,2024-08-01,2025-07-31,0,0,18000,18000.0,0.0,18000.0,OK,OK,OK,OK,OK
C286366,P555172,2024.0,Ella Patel,Pioneer Underwriters,Motor Commercial,80,Motor Commercial Comprehensive,800,Own Damage,2024-10-12,2024-10-28,2025-02-14,2024-08-22,2025-08-21,0,0,25000,25000.0,0.0,25000.0,OK,OK,OK,OK,OK
C353523,P315889,2023.0,Nina Smith,Beta Risk Partners,Motor Private,70,Motor Private Comprehensive,700,Own Damage,2024-05-19,2024-05-21,2025-02-17,2023-05-23,2024-05-22,0,0,200000,200000.0,0.0,200000.0,OK,OK,OK,OK,OK
C327666,P762815,2023.0,David Gupta,Zeta Assurance,Motor Private,70,Motor Private Comprehensive,700,Own Damage,2024-05-12,2024-05-16,2025-05-06,2023-09-01,2024-08-31,0,0,3400,3400.0,3400.0,0.0,OK,OK,OK,OK,OK
C618451,P496596,2024.0,Sophia Ahmed,Pegasus Insurance,Motor Commercial,80,PSV,804,Accidental Damage,2024-10-19,2024-10-28,2025-03-06,2024-07-13,2025-07-12,0,0,7280,7280.0,0.0,7280.0,OK,OK,OK,OK,OK
C217838,P268915,2024.0,Ella Miller,Beta Risk Partners,Motor Private,70,Motor Private Comprehensive,700,Own Damage,2024-11-21,2024-11-22,2025-02-26,2024-06-05,2025-04-04,0,0,7280,7280.0,0.0,7280.0,OK,OK,OK,OK,OK
C883038,P361332,2024.0,Sophia Johnson,Pioneer Underwriters,Motor Commercial,80,Motor Commercial Comprehensive,800,Own Damage,2024-11-27,2024-12-02,2025-02-17,2024-03-09,2025-03-08,0,0,57420,57420.0,0.0,57420.0,OK,OK,OK,OK,OK
C596555,P350042,2024.0,Lucas Taylor,Beta Risk Partners,Motor Private,70,Motor Private Comprehensive,700,Own Damage,2024-11-08,2024-11-09,2025-02-17,2024-05-27,2025-05-26,0,0,6980,6980.0,0.0,6980.0,OK,OK,OK,OK,OK
C245537,P634354,2024.0,Arjun Wilson,Taurus Brokers,Motor Commercial,80,PSV,804,Accidental Damage,2024-11-08,2024-11-13,2025-02-17,2024-09-07,2025-09-06,0,0,6980,6980.0,0.0,6980.0,OK,OK,OK,OK,OK
C882425,P620121,2024.0,Fatima Shah,Pegasus Insurance,Motor Commercial,80,PSV,804,Own Damage,2024-11-07,2024-11-18,2025-02-17,2024-07-26,2025-07-25,0,0,124600,124600.0,0.0,124600.0,OK,OK,OK,OK,OK
C118545,P127567,2023.0,Amelia Brown,Gamma Insurance Brokers,Motor Private,70,Motor Private Comprehensive,700,Own Damage,2024-09-28,2024-10-01,2025-05-06,2023-10-27,2024-10-26,0,0,3150,3150.0,0.0,3150.0,OK,OK,OK,OK,OK
C755267,P733092,2023.0,Lucas Sharma,Broker Two,Motor Private,70,Motor Private Comprehensive,700,Own Damage,2024-09-20,2024-09-23,2025-05-06,2023-10-20,2024-10-19,0,0,7180,7180.0,0.0,7180.0,OK,OK,OK,OK,OK
C674229,P883496,2024.0,Priya Wilson,Eta Risk Solutions,Motor Private,70,Motor Private Comprehensive,700,Own Damage,2024-10-28,2024-10-30,2025-02-12,2024-06-29,2025-06-28,0,0,103240,103240.0,0.0,103240.0,OK,OK,OK,OK,OK
C578651,P788316,2024.0,Mateo Fernandez,Sigma Risk Advisors,Motor Private,70,Motor Private Comprehensive,700,Own Damage,2024-12-08,2024-12-11,2025-02-14,2024-09-08,2025-09-07,0,0,15000,15000.0,0.0,15000.0,OK,OK,OK,OK,OK
C496976,P752746,2024.0,Lucas Hughes,Pegasus Insurance,Motor Private,70,Motor Private Comprehensive,700,Windscreen Damage,2024-09-07,2024-09-09,2025-04-10,2024-06-06,2025-06-05,0,0,19952,19952.0,0.0,19952.0,OK,OK,OK,OK,OK
C532480,P414042,2024.0,David Shah,Broker One,Motor Private,70,Motor Private Comprehensive,700,Windscreen Damage,2024-12-05,2024-12-10,2025-02-20,2024-04-01,2025-03-31,0,0,18000,18000.0,0.0,18000.0,OK,OK,OK,OK,OK
C755346,P348085,2024.0,Ethan Ahmed,Broker Two,Motor Private,70,Motor Private Comprehensive,700,Windscreen Damage,2024-11-10,2024-11-14,2025-02-20,2024-07-11,2025-07-10,0,0,28000,28000.0,0.0,28000.0,OK,OK,OK,OK,OK
C828137,P682788,2015.0,Ella Singh,Alpha Insurance Agency,Motor Private,70,Motor Private Third Party Only,703,Own Damage,2015-10-24,2015-10-28,2025-02-18,2015-05-05,2016-05-04,0,0,240000,240000.0,0.0,240000.0,OK,OK,OK,OK,OK
C211493,P304692,2022.0,Noah Wilson,Pioneer Underwriters,Motor Commercial,80,General Cartage,807,Injury To Third Part,2022-11-12,2024-03-06,2025-02-19,2022-07-01,2023-06-30,0,0,30000,30000.0,0.0,30000.0,OK,OK,OK,OK,OK
C587367,P508148,2023.0,Zara Ahmed,Delta Coverage Ltd,Motor Private,70,Motor Private Comprehensive,700,Own Damage,2024-05-12,2024-05-16,2025-02-27,2023-09-01,2024-08-31,790240,0,0,790240.0,28038.0,762202.0,OK,OK,OK,OK,OK
C624002,P500667,2023.0,David Fernandez,Pioneer Underwriters,Engineering,2,Machinery Breakdown,23,Accidental damage,2023-10-27,2024-05-09,2025-03-06,2023-01-01,2023-12-31,0,0,68440,68440.0,0.0,68440.0,OK,OK,OK,OK,OK
C589282,P695755,2024.0,Leila Hughes,Iota Claims Ltd,Motor Private,70,Motor Private Comprehensive,700,Own Damage,2024-12-03,2024-12-06,2025-02-14,2024-09-17,2025-09-16,0,0,75400,75400.0,0.0,75400.0,OK,OK,OK,CHECK,OK
C483900,P154101,2024.0,Sophia Roberts,Epsilon Underwriters,Motor Private,70,Motor Private Comprehensive,700,Own Damage,2024-11-11,2024-11-15,2025-02-17,2024-08-14,2025-06-13,0,0,3100,3100.0,0.0,3100.0,OK,OK,OK,OK,OK
C485018,P504080,2024.0,Isla Begum,Gamma Insurance Brokers,Motor Private,70,Motor Private Comprehensive,700,Own Damage,2025-01-20,2025-01-21,2025-03-06,2024-01-22,2025-01-21,0,0,27900,27900.0,0.0,27900.0,OK,OK,OK,OK,OK
C109033,P272862,2023.0,Arjun Sharma,Delta Coverage Ltd,Motor Commercial,80,Motor Commercial Third Party,808,Injury To Third Part,2024-11-04,2025-01-08,2025-02-19,2023-12-31,2024-12-30,0,0,30000,30000.0,0.0,30000.0,OK,OK,OK,OK,OK
C626772,P221229,2024.0,Mateo Shah,Eta Risk Solutions,Motor Commercial,80,General Cartage,807,Accidental Damage,2024-11-19,2024-12-11,2025-02-17,2024-10-03,2025-04-20,0,0,13660,13660.0,0.0,13660.0,OK,OK,OK,OK,OK
C350586,P201665,2023.0,Leila Smith,Pegasus Insurance,Motor Commercial,80,Motor Commercial Third Party,808,Injury To Third Part,2024-11-04,2025-01-08,2025-02-19,2023-12-31,2024-12-30,0,0,30000,30000.0,0.0,30000.0,OK,OK,OK,OK,OK
C269885,P581261,2023.0,Noah Davies,Beta Risk Partners,Motor Commercial,80,Motor Commercial Third Party,808,Injury To Third Part,2024-11-04,2025-01-08,2025-02-19,2023-12-31,2024-12-30,0,0,30000,30000.0,0.0,30000.0,OK,OK,OK,OK,OK
C145942,P168117,2024.0,Daniel Ahmed,Sigma Risk Advisors,Motor Private,70,Motor Private Comprehensive,700,Own Damage,2024-11-21,2024-12-18,2025-03-13,2024-11-14,2025-08-12,0,0,7280,7280.0,0.0,7280.0,OK,OK,OK,OK,OK
C222344,P398249,2024.0,Leo Brown,Broker One,Motor Private,70,Motor Private Comprehensive,700,Own Damage,2024-10-16,2024-10-22,2025-02-17,2024-10-14,2025-10-10,0,0,7280,7280.0,0.0,7280.0,OK,OK,OK,CHECK,OK
C690038,P793205,2024.0,Yusuf Begum,Delta Coverage Ltd,Motor Private,70,Motor Private Comprehensive,700,Own Damage,2024-10-15,2024-10-25,2025-02-19,2024-09-30,2024-11-14,0,0,25780,25780.0,0.0,25780.0,OK,OK,OK,OK,OK
C487997,P507875,2024.0,Amelia Ali,Sigma Risk Advisors,Motor Private,70,Motor Private Comprehensive,700,Own Damage,2024-08-21,2024-08-23,2025-03-13,2024-06-05,2025-04-04,0,0,3100,3100.0,0.0,3100.0,OK,OK,OK,OK,OK
C311938,P458213,2023.0,Mateo Patel,Iota Claims Ltd,Motor Private,70,Motor Private Comprehensive,700,Own Damage,2024-09-14,2024-09-18,2025-02-17,2023-12-11,2024-10-10,0,0,6980,6980.0,0.0,6980.0,OK,OK,OK,OK,OK
C786351,P961242,2024.0,Yusuf Hughes,Kappa Brokers,Motor Private,70,Motor Private Comprehensive,700,Own Damage,2024-09-09,2024-09-18,2025-02-17,2024-08-05,2025-04-29,0,0,6980,6980.0,0.0,6980.0,OK,OK,OK,OK,OK
C406446,P489139,2024.0,Aisha Roberts,Beta Risk Partners,Motor Commercial,80,General Cartage,807,Accidental Damage,2024-08-05,2024-08-20,2025-02-19,2024-04-21,2025-04-20,0,0,12760,12760.0,0.0,12760.0,OK,OK,OK,OK,OK
C939929,P275490,2024.0,Zara Khan,Pioneer Underwriters,Motor Commercial,80,Motor Commercial Comprehensive,800,Own Damage,2024-10-12,2024-10-25,2025-02-19,2024-05-03,2025-05-02,0,0,6380,6380.0,0.0,6380.0,OK,OK,OK,OK,OK
C960475,P688150,2024.0,Arjun Thompson,Lambda Insurance Group,Motor Private,70,Motor Private Comprehensive,700,Own Damage,2024-01-21,2024-01-30,2025-02-19,2024-01-07,2024-02-06,0,0,3140,3140.0,0.0,3140.0,OK,OK,OK,OK,OK
C945503,P897138,2020.0,Leila Davies,Kappa Brokers,Motor Private,70,Motor Private Comprehensive,700,Own Damage,2021-03-17,2021-03-18,2025-02-18,2020-11-25,2021-11-24,0,0,9300,9300.0,0.0,9300.0,OK,OK,OK,OK,OK
C647888,P558541,2022.0,Mateo Ali,Zeta Assurance,Motor Private,70,Motor Private Comprehensive,700,Own Damage,2023-02-28,2023-03-02,2025-02-18,2022-09-03,2023-09-02,0,0,23960,23960.0,0.0,23960.0,OK,OK,OK,OK,OK
C596522,P755835,2022.0,Noah Begum,Beta Risk Partners,Motor Private,70,Motor Private Comprehensive,700,Own Damage,2023-04-18,2023-04-20,2025-02-18,2022-08-14,2023-07-12,0,0,28950,28950.0,0.0,28950.0,OK,OK,OK,OK,OK
C699314,P408041,2024.0,Aisha Davies,Eta Risk Solutions,Motor Commercial,80,Motor Commercial Comprehensive,800,Own Damage,2024-10-04,2024-10-07,2025-04-25,2024-01-01,2025-01-01,0,0,12940,12940.0,0.0,12940.0,OK,OK,OK,OK,OK
C464819,P700884,2023.0,Omar Shah,Vertex Insurance,Motor Private,70,Motor Private Comprehensive,700,Own Damage,2024-09-10,2024-09-11,2025-05-07,2023-09-30,2024-09-29,0,0,2900,2900.0,0.0,2900.0,OK,OK,OK,OK,OK
C472107,P909445,2024.0,Zara Miller,Delta Coverage Ltd,Motor Private,70,Motor Private Comprehensive,700,Own Damage,2024-12-23,2025-01-02,2025-03-07,2024-03-08,2025-03-07,0,0,2900,2900.0,0.0,2900.0,OK,OK,OK,OK,OK
C213843,P967227,2024.0,Lucas Khan,Broker One,Motor Commercial,80,Motor Commercial Comprehensive,800,Own Damage,2024-08-17,2024-09-24,2025-05-07,2023-11-21,2024-11-20,0,0,29430,29430.0,0.0,29430.0,OK,OK,OK,OK,OK
C698044,P236479,2024.0,David Singh,Pegasus Insurance,Motor Private,70,Motor Private Comprehensive,700,Own Damage,2025-01-27,2025-01-29,2025-03-07,2024-05-31,2025-05-30,0,0,6380,6380.0,0.0,6380.0,OK,OK,OK,OK,OK
C175143,P610352,2023.0,Zara Hall,Broker Three,Motor Private,70,Motor Private Comprehensive,700,Own Damage,2024-01-13,2024-01-26,2025-02-18,2023-07-01,2024-06-30,0,0,140308,140308.0,0.0,140308.0,OK,OK,OK,OK,OK
C459134,P363582,2023.0,Fatima Singh,Zeta Assurance,Motor Commercial,80,PSV,804,Own Damage,2023-05-14,2023-05-15,2025-02-17,2023-01-04,2024-01-03,980975,0,0,980975.0,0.0,980975.0,OK,OK,OK,OK,OK
C349296,P382660,2023.0,Leo Hall,Broker Two,Motor Private,70,Motor Private Comprehensive,700,Own Damage,2024-04-12,2024-04-17,2025-02-17,2023-07-02,2024-07-01,712987,0,0,712987.0,0.0,712987.0,OK,OK,OK,OK,OK
C921389,P333354,2024.0,Leila Patel,Sigma Risk Advisors,Motor Commercial,80,Motor Commercial Comprehensive,800,Own Damage,2024-02-15,2024-02-15,2025-02-17,2024-01-01,2024-12-31,450020,0,0,450020.0,0.0,450020.0,OK,OK,OK,OK,OK
C312020,P523272,2024.0,Nina Singh,Theta Insurance,Motor Private,70,Motor Private Comprehensive,700,Own Damage,2024-11-30,2024-12-04,2025-02-26,2024-10-17,2025-05-04,0,0,7280,7280.0,0.0,7280.0,OK,OK,OK,OK,OK
C579759,P476086,2023.0,Ella Begum,Broker Two,Motor Private,70,Motor Private Comprehensive,700,Own Damage,2024-10-10,2024-10-15,2025-02-19,2023-12-10,2024-12-09,41627,0,0,41627.0,0.0,41627.0,OK,OK,OK,OK,OK
C655545,P381360,2023.0,Leila Begum,Lambda Insurance Group,Motor Private,70,Motor Private Comprehensive,700,Own Damage,2024-10-10,2024-10-15,2025-02-19,2023-12-10,2024-12-09,33953,0,0,33953.0,0.0,33953.0,OK,OK,OK,OK,OK
C702247,P697628,2023.0,Fatima Patel,Pioneer Underwriters,Motor Private,70,Motor Private Comprehensive,700,Own Damage,2024-08-25,2024-08-29,2025-02-19,2023-12-10,2024-10-01,17974,0,0,17974.0,0.0,17974.0,OK,OK,OK,OK,OK
C317284,P708180,2023.0,Fatima Gupta,Sigma Risk Advisors,Motor Private,70,Motor Private Comprehensive,700,Own Damage,2024-08-25,2024-08-29,2025-02-19,2023-12-10,2024-10-01,10955,0,0,10955.0,0.0,10955.0,OK,OK,OK,OK,OK
C775281,P891299,2023.0,Aisha Johnson,Zeta Assurance,Motor Private,70,Motor Private Comprehensive,700,Own Damage,2024-08-25,2024-08-29,2025-02-19,2023-12-10,2024-10-01,33870,0,0,33870.0,0.0,33870.0,OK,OK,OK,OK,OK
C247768,P730164,2024.0,Isla Johnson,Orion Risk Partners,Motor Private,70,Motor Private Comprehensive,700,Own Damage,2024-12-29,2024-12-31,2025-03-06,2024-04-01,2025-03-31,0,0,3100,3100.0,0.0,3100.0,OK,OK,OK,OK,OK
C162913,P864065,2020.0,Yusuf Ahmed,Sigma Risk Advisors,Motor Private,70,Motor Private Comprehensive,700,Own Damage,2020-11-15,2021-05-28,2025-02-19,2020-10-16,2020-11-16,0,0,113700,113700.0,0.0,113700.0,OK,OK,OK,OK,OK
C246975,P762819,2024.0,Aarav Singh,Iota Claims Ltd,Motor Private,70,Motor Private Comprehensive,700,Own Damage,2024-10-25,2024-10-28,2025-02-20,2024-05-17,2025-05-16,0,0,152440,152440.0,0.0,152440.0,OK,OK,OK,OK,OK
C826842,P302507,2024.0,Noah Taylor,Pioneer Underwriters,Motor Private,70,Motor Private Comprehensive,700,Own Damage,2024-11-17,2024-11-18,2025-02-20,2024-09-22,2025-09-21,0,0,59160,59160.0,0.0,59160.0,OK,OK,OK,CHECK,OK
C308679,P591558,2024.0,Leo Thompson,Broker Three,Motor Private,70,Motor Private Comprehensive,700,Own Damage,2024-11-14,2024-11-14,2025-02-20,2024-07-29,2025-07-28,0,0,181846,181846.0,0.0,181846.0,OK,OK,OK,OK,OK
C731568,P905267,2023.0,Sophia Roberts,Summit Brokers,Motor Private,70,Motor Private Comprehensive,700,Own Damage,2023-12-10,2023-12-18,2025-02-26,2023-07-07,2024-06-06,12000,0,0,12000.0,0.0,12000.0,OK,OK,OK,OK,OK
C104614,P522899,2024.0,Priya Smith,Epsilon Underwriters,Motor Commercial,80,Motor Commercial Comprehensive,800,Own Damage,2024-04-09,2024-04-11,2025-02-21,2023-09-22,2024-09-21,682705,0,0,682705.0,0.0,682705.0,OK,OK,OK,OK,OK
C835441,P397360,2022.0,Mateo Sharma,Epsilon Underwriters,Motor Private,70,Motor Private Comprehensive,700,Own Damage,2022-05-20,2022-05-24,2025-02-21,2022-01-01,2022-12-31,500010,0,0,500010.0,0.0,500010.0,OK,OK,OK,OK,OK
C784501,P904278,2024.0,Arjun Gupta,Iota Claims Ltd,Motor Private,70,Motor Private Comprehensive,700,Own Damage,2024-12-19,2024-12-20,2025-03-07,2024-09-15,2025-09-14,0,0,3100,3100.0,0.0,3100.0,OK,OK,OK,CHECK,OK
C102659,P144620,2024.0,Aisha Lewis,Vertex Insurance,Motor Commercial,80,Motor Commercial Comprehensive,800,Own Damage,2024-09-26,2024-10-08,2025-03-07,2024-05-01,2025-04-30,0,0,10280,10280.0,0.0,10280.0,OK,OK,OK,OK,OK
C609789,P489700,2024.0,Isla Brown,Pegasus Insurance,Motor Private,70,Motor Private Comprehensive,700,Own Damage,2025-01-08,2025-01-08,2025-03-07,2024-04-15,2025-04-14,0,0,6380,6380.0,0.0,6380.0,OK,OK,OK,OK,OK
C206365,P961647,2024.0,Isla Davies,Horizon Brokers,Motor Private,70,Motor Private Comprehensive,700,Own Damage,2024-12-26,2025-01-02,2025-03-07,2024-08-06,2025-08-05,0,0,6380,6380.0,0.0,6380.0,OK,OK,OK,OK,OK
C895192,P276870,2024.0,Zara Roberts,Broker One,Motor Private,70,Motor Private Comprehensive,700,Own Damage,2024-09-09,2024-09-10,2025-03-11,2024-04-27,2025-04-26,38280,0,0,38280.0,0.0,38280.0,OK,OK,OK,OK,OK
C959811,P391995,2022.0,Daniel Hughes,Broker Two,Motor Private,70,Motor Private Comprehensive,700,Own Damage,2023-08-21,2023-08-21,2025-02-24,2022-12-01,2023-11-30,0,0,600140,600140.0,0.0,600140.0,OK,OK,OK,OK,OK
C188082,P650775,2023.0,Noah Begum,Eta Risk Solutions,Motor Private,70,Motor Private Comprehensive,700,Own Damage,2024-01-12,2024-01-15,2025-02-24,2023-06-09,2024-06-08,500002,0,0,500002.0,0.0,500002.0,OK,OK,OK,OK,OK
C562722,P465997,2022.0,Isla Taylor,Taurus Brokers,Motor Commercial,80,Motor Commercial Comprehensive,800,Own Damage,2022-11-28,2022-11-30,2025-02-27,2022-06-17,2023-06-16,0,0,316980,316980.0,0.0,316980.0,OK,OK,OK,OK,OK
C302905,P588839,2024.0,Arjun Williams,Kappa Brokers,Motor Private,70,Motor Private Comprehensive,700,Windscreen Damage,2025-02-14,2025-02-21,2025-02-27,2024-06-27,2025-06-26,13500,0,0,13500.0,0.0,13500.0,OK,OK,OK,OK,OK
C763042,P178484,2024.0,Isla Brown,Zeta Assurance,Motor Private,70,Motor Private Comprehensive,700,Own Damage,2024-09-24,2024-09-24,2025-02-26,2024-04-06,2025-04-05,0,0,125280,125280.0,0.0,125280.0,OK,OK,OK,OK,OK
C757353,P835802,2024.0,Maya Khan,Broker One,Motor Private,70,Motor Private Comprehensive,700,Own Damage,2025-01-11,2025-01-17,2025-03-10,2024-12-14,2025-01-13,131200,0,0,131200.0,0.0,131200.0,OK,OK,OK,OK,OK
C997605,P312168,2024.0,Leo Hughes,Orion Risk Partners,Motor Private,70,Motor Private Comprehensive,700,Own Damage,2024-10-06,2024-10-08,2025-02-28,2024-07-07,2025-07-06,470950,0,0,470950.0,0.0,470950.0,OK,OK,OK,OK,OK
C830310,P504166,2023.0,Fatima Hughes,Zeta Assurance,Motor Private,70,Motor Private Comprehensive,700,Own Damage,2024-05-25,2024-05-28,2025-03-06,2023-05-26,2024-05-25,0,0,35700,35700.0,0.0,35700.0,OK,OK,OK,OK,OK
C845431,P412453,2024.0,Noah Singh,Delta Coverage Ltd,Motor Private,70,Motor Cycle Comprehensive,701,Own Damage,2024-09-17,2024-09-18,2025-03-06,2024-03-12,2025-03-11,2320,0,0,2320.0,0.0,2320.0,OK,OK,OK,OK,OK
C457796,P613200,2024.0,Leo Fernandez,Eta Risk Solutions,Motor Commercial,80,PSV,804,Accidental Damage,2024-12-05,2024-12-09,2025-03-14,2024-11-06,2024-12-05,0,0,6980,6980.0,0.0,6980.0,OK,OK,OK,OK,OK
C678651,P677055,2024.0,Raj Brown,Sigma Risk Advisors,Motor Private,70,Motor Private Comprehensive,700,Own Damage,2024-10-06,2024-10-08,2025-03-14,2024-09-06,2025-09-05,0,0,3020,3020.0,0.0,3020.0,OK,OK,OK,OK,OK
C571475,P862213,2024.0,Fatima Ahmed,Delta Coverage Ltd,Motor Private,70,Motor Private Comprehensive,700,Own Damage,2025-01-11,2025-01-15,2025-04-15,2024-06-24,2025-06-23,17400,0,0,17400.0,0.0,17400.0,OK,OK,OK,OK,OK
C925459,P304636,2024.0,Priya Patel,Pegasus Insurance,Motor Private,70,Motor Private Comprehensive,700,Own Damage,2025-01-18,2025-01-21,2025-04-15,2024-01-27,2025-01-26,29000,0,0,29000.0,0.0,29000.0,OK,OK,OK,OK,OK
C787197,P591896,2024.0,Leila Wilson,Sigma Risk Advisors,Motor Private,70,Motor Private Comprehensive,700,Own Damage,2024-10-18,2024-10-23,2025-03-14,2024-10-07,2024-11-06,0,0,6980,6980.0,0.0,6980.0,OK,OK,OK,OK,OK
C634058,P928782,2024.0,Arjun Hall,Pioneer Underwriters,Motor Private,70,Motor Private Comprehensive,700,Own Damage,2024-11-24,2024-12-02,2025-03-14,2024-09-29,2025-09-28,0,0,6980,6980.0,0.0,6980.0,OK,OK,OK,CHECK,OK
C719031,P928941,2024.0,Arjun Ali,Summit Brokers,Motor Private,70,Motor Private Comprehensive,700,Own Damage,2024-12-04,2024-12-09,2025-03-14,2024-01-13,2025-01-12,0,0,3020,3020.0,0.0,3020.0,OK,OK,OK,OK,OK
C107321,P547329,2024.0,Ella Shah,Kappa Brokers,Motor Private,70,Motor Private Comprehensive,700,Own Damage,2024-11-25,2024-11-26,2025-03-13,2024-11-25,2024-12-24,0,0,3100,3100.0,0.0,3100.0,OK,OK,OK,OK,OK
C568499,P406774,2024.0,Leila Smith,Beta Risk Partners,Motor Private,70,Motor Private Comprehensive,700,Own Damage,2024-11-21,2024-12-03,2025-03-14,2024-02-29,2024-12-17,0,0,6980,6980.0,0.0,6980.0,OK,OK,OK,OK,OK
C455871,P101348,2024.0,Fatima Roberts,Eta Risk Solutions,Motor Commercial,80,PSV,804,Own Damage,2025-01-07,2025-01-08,2025-03-13,2024-06-23,2025-06-22,0,0,6980,6980.0,0.0,6980.0,OK,OK,OK,OK,OK
C280402,P895999,2024.0,Daniel Roberts,Delta Coverage Ltd,Motor Commercial,80,Institutional Vehicles,813,Own Damage,2025-01-13,2025-01-14,2025-03-13,2024-12-06,2025-12-05,0,0,10410,10410.0,0.0,10410.0,OK,OK,OK,CHECK,OK
C218151,P713285,2024.0,Zara Williams,Beta Risk Partners,Motor Private,70,Motor Private Comprehensive,700,Own Damage,2025-01-20,2025-01-22,2025-03-06,2024-01-25,2025-01-24,0,0,7130,7130.0,0.0,7130.0,OK,OK,OK,OK,OK
C596529,P821199,2024.0,Priya Miller,Theta Insurance,Motor Private,70,Motor Private Comprehensive,700,Own Damage,2025-01-13,2025-01-13,2025-03-06,2024-07-22,2025-07-21,0,0,7280,7280.0,0.0,7280.0,OK,OK,OK,OK,OK
C842262,P491186,2024.0,Noah Shah,Alpha Insurance Agency,Motor Private,70,Motor Private Comprehensive,700,Own Damage,2024-12-17,2024-12-20,2025-03-06,2024-07-01,2025-06-30,0,0,7280,7280.0,0.0,7280.0,OK,OK,OK,OK,OK
C799546,P903370,2024.0,Raj Shah,Gamma Insurance Brokers,Motor Commercial,80,Motor Commercial Comprehensive,800,Own Damage,2024-11-21,2024-11-21,2025-05-06,2024-09-05,2025-09-04,0,0,10208,10208.0,0.0,10208.0,OK,OK,OK,OK,OK
C215971,P895086,2024.0,David Brown,Pioneer Underwriters,Motor Commercial,80,Motor Commercial Comprehensive,800,Own Damage,2024-11-21,2024-11-21,2025-05-06,2024-09-05,2025-09-04,0,0,2900,2900.0,0.0,2900.0,OK,OK,OK,OK,OK
C395430,P467814,2024.0,Maya Begum,Epsilon Underwriters,Motor Private,70,Motor Private Comprehensive,700,Own Damage,2024-12-21,2024-12-30,2025-03-06,2024-12-01,2025-11-30,0,0,22400,22400.0,0.0,22400.0,OK,OK,OK,CHECK,OK
C865581,P911708,2024.0,Zara Williams,Zeta Assurance,Motor Private,70,Motor Private Comprehensive,700,Own Damage,2024-11-28,2024-11-28,2025-03-07,2024-09-30,2025-09-29,0,0,6650,6650.0,0.0,6650.0,OK,OK,OK,CHECK,OK
C371456,P431279,2024.0,Daniel Taylor,Sigma Risk Advisors,Motor Private,70,Motor Private Comprehensive,700,Own Damage,2024-07-17,2024-07-23,2025-03-07,2024-02-14,2025-02-13,0,0,3020,3020.0,0.0,3020.0,OK,OK,OK,OK,OK
